456 1228
145 251 200
145 267 11
145 308 200
145 360 200
145 377 200
146 381 200
147 269 200
147 279 200
147 430 200
148 216 200
148 319 200
148 390 200
148 404 200
148 455 40
149 291 200
150 184 200
150 231 100
150 291 200
150 369 200
150 380 200
150 391 200
150 430 200
151 200 200
151 349 200
151 367 200
151 427 200
152 222 200
152 289 200
152 352 200
152 453 200
153 198 200
153 253 200
153 378 200
154 206 200
154 407 200
155 192 200
155 291 200
155 359 200
156 161 200
156 167 100
156 204 200
156 206 200
156 304 200
156 325 200
156 329 200
156 332 100
156 390 200
156 415 200
156 423 200
156 426 200
157 448 200
158 200 200
158 364 200
159 229 200
159 269 200
159 331 200
160 197 100
160 215 200
160 374 200
161 284 200
161 305 200
161 329 200
161 366 200
161 387 200
161 390 7
161 400 200
161 415 200
161 455 200
163 329 200
163 346 40
163 384 200
163 441 200
164 294 100
164 394 200
164 422 28
164 446 200
165 269 200
165 272 200
165 358 200
166 168 200
166 336 200
166 370 200
166 371 200
167 275 200
167 366 200
168 178 200
168 217 200
168 243 200
168 371 200
169 197 100
169 245 200
169 298 200
169 420 200
170 205 200
170 224 200
170 277 200
170 448 200
172 234 200
172 262 200
172 374 200
172 379 200
173 254 40
173 282 200
173 313 200
173 347 200
173 392 200
174 258 200
174 354 200
174 453 200
175 344 200
175 429 200
176 451 200
177 274 200
178 237 200
178 243 200
178 252 200
179 265 200
179 310 200
179 361 18
179 368 200
179 403 200
179 454 200
180 295 200
180 317 200
180 401 200
181 193 200
181 426 200
182 267 200
182 308 100
182 315 200
182 420 200
183 320 200
183 454 200
184 229 40
184 271 200
185 186 200
185 266 200
185 275 200
186 266 200
186 305 200
186 356 20
186 390 200
186 400 200
187 191 200
187 200 200
187 308 200
187 360 200
188 211 200
188 259 100
188 277 200
188 431 200
189 391 200
190 334 200
191 200 200
191 308 40
192 340 200
192 427 20
193 194 200
193 214 200
193 284 200
193 305 200
193 375 200
193 407 200
193 426 200
193 443 200
194 319 200
194 384 200
195 255 200
195 307 6
196 245 200
196 281 200
197 420 200
197 436 200
198 308 200
198 413 13
199 298 200
200 267 200
200 377 200
201 351 200
201 374 200
201 417 200
202 208 200
202 213 200
202 222 200
202 261 200
202 274 200
203 269 200
204 275 200
204 304 200
204 329 200
204 345 200
204 346 200
204 386 200
204 400 200
204 443 200
204 455 200
206 407 200
206 415 200
207 273 200
208 213 200
208 222 200
208 316 200
209 212 20
209 223 200
209 230 200
209 253 200
209 254 18
209 270 200
209 276 20
210 250 200
210 338 200
210 358 200
210 408 200
211 238 200
211 258 100
211 259 200
211 277 100
211 435 200
212 254 20
213 222 200
213 285 20
213 316 100
214 415 200
214 443 200
214 452 200
214 455 200
215 281 200
215 374 200
215 436 200
217 243 100
217 357 200
218 249 200
218 251 100
220 297 200
220 395 200
221 222 200
221 238 200
222 352 200
222 354 200
222 389 66
222 434 200
223 230 200
223 416 13
224 258 200
224 277 200
224 428 200
226 247 200
226 274 200
226 327 200
226 395 200
226 422 200
227 256 200
227 290 200
228 272 200
228 419 200
229 335 100
229 430 200
231 234 200
231 244 200
231 369 200
231 405 200
231 430 200
231 439 200
232 271 200
232 287 200
232 312 200
232 397 200
233 237 100
234 236 200
234 244 200
234 262 200
234 295 200
234 439 200
235 249 200
235 367 200
235 442 200
236 330 200
237 240 200
237 437 200
238 253 200
238 261 200
238 311 200
238 354 200
238 435 200
239 418 200
239 438 200
240 371 200
241 428 200
242 257 13
243 260 200
244 290 200
244 383 200
245 449 33
246 436 200
247 258 200
247 274 200
247 285 200
247 395 100
247 422 200
248 335 200
249 251 200
251 337 200
251 377 200
252 363 200
253 270 200
253 309 200
253 311 200
255 307 200
255 453 200
256 312 200
256 315 200
258 395 200
259 277 200
259 311 200
259 322 200
259 327 200
259 410 200
259 434 200
259 435 66
259 444 200
261 277 200
261 354 200
262 271 200
262 393 200
262 429 200
263 369 200
264 282 200
265 291 200
265 310 200
265 368 200
265 403 200
265 432 40
265 454 200
266 319 200
266 346 200
266 387 200
266 390 100
266 425 200
267 283 200
267 308 200
267 315 200
267 360 200
267 364 40
267 377 200
267 442 200
268 304 200
269 272 200
269 320 200
269 391 200
273 312 200
273 359 200
274 303 200
274 316 100
274 339 200
274 395 200
274 422 200
275 284 200
275 346 200
277 297 200
277 316 200
277 434 66
277 435 200
278 418 40
279 299 200
279 432 200
281 436 200
282 286 200
282 313 200
282 321 200
282 347 200
283 315 50
283 337 200
283 364 200
283 442 200
284 303 200
284 304 200
284 390 200
284 400 200
284 415 200
284 423 200
284 452 200
288 353 200
288 398 200
288 439 200
288 447 200
289 451 200
289 453 200
290 306 200
290 383 200
290 440 200
291 439 200
292 380 200
293 341 200
294 422 200
295 439 200
296 301 200
296 330 200
296 433 200
297 451 200
300 350 200
301 454 200
302 347 10
303 304 200
303 316 200
304 319 200
304 332 200
304 443 100
304 452 200
305 329 200
305 400 100
305 452 200
308 315 200
309 399 200
310 368 200
310 385 200
310 403 200
310 454 200
312 318 200
312 358 200
313 347 200
314 326 200
314 341 200
314 429 100
315 377 13
316 434 200
317 323 200
317 359 200
317 380 200
317 401 200
318 359 200
318 383 200
318 397 200
319 332 200
319 346 200
319 390 200
319 441 200
319 443 200
320 391 100
320 430 200
321 347 200
322 444 15
323 369 100
323 398 200
323 403 200
324 446 100
325 400 200
325 415 200
326 398 200
327 435 200
328 374 200
329 386 200
329 400 100
329 441 200
330 341 40
330 408 200
332 342 200
332 441 200
332 443 200
333 347 200
333 362 200
335 341 200
335 388 200
336 357 200
336 371 200
337 377 200
337 427 200
338 341 200
338 418 200
338 432 200
340 408 100
341 361 200
341 374 200
341 388 200
341 391 200
341 405 200
341 418 200
341 438 200
341 447 200
343 436 200
345 346 200
345 356 200
345 373 200
345 400 200
345 407 200
346 390 200
346 400 200
347 362 200
349 360 200
349 377 200
349 427 200
353 372 200
353 380 200
354 434 200
355 368 11
355 402 66
356 373 200
356 425 200
357 371 200
358 454 200
360 377 200
361 438 200
361 449 200
362 421 200
365 427 40
368 402 200
368 403 200
368 449 200
368 454 200
369 393 200
369 429 200
369 430 200
373 387 100
373 426 200
373 441 200
377 412 200
377 427 200
383 454 200
384 407 200
384 425 200
384 441 200
386 387 200
387 425 200
387 441 200
388 445 66
389 434 200
390 404 200
390 415 100
391 408 40
393 454 200
395 422 200
398 439 200
398 447 200
400 423 66
400 452 200
402 414 200
403 454 200
404 443 200
405 447 200
406 440 200
408 440 200
412 442 200
425 441 200
426 441 200
431 451 18
434 435 200
436 449 200
439 447 200
